0.745,0.05,0.557,18.433,15.625,-9.033,3.137,-53.751,76.355,1.386,1.357
0.764,0.055,0.589,27.1,7.08,-7.935,3.73,-53.542,76.256,1.386,1.357
0.762,0.108,0.616,22.217,-4.15,-5.92,4.29,-53.542,76.163,1.386,1.357
0.841,0.134,0.652,29.236,14.709,1.587,4.763,-53.322,76.267,1.408,1.349
0.89,0.188,0.669,30.579,19.287,5.493,5.175,-52.954,76.514,1.408,1.349
0.913,0.248,0.68,39.917,28.748,6.47,5.696,-52.432,76.8,1.469,1.371
0.917,0.257,0.688,27.222,26.611,3.296,6.158,-51.899,76.981,1.466,1.374
0.894,0.257,0.657,8.545,28.87,-0.671,6.394,-51.35,77.014,1.466,1.374
0.883,0.279,0.586,2.136,34.668,-1.831,6.493,-50.702,76.981,1.483,1.376
0.882,0.267,0.535,0.244,12.756,-4.517,6.647,-50.367,76.8,1.493,1.352
0.863,0.241,0.547,-5.615,-15.808,-8.362,6.883,-50.565,76.393,1.493,1.352
0.824,0.233,0.611,-11.047,-18.616,-9.033,7.081,-50.938,75.905,1.493,1.352
0.801,0.233,0.659,-8.057,-9.216,-5.859,7.234,-51.18,75.493,1.527,1.306
0.782,0.217,0.646,-2.563,9.399,-1.831,7.344,-51.103,75.262,1.527,1.306
0.776,0.178,0.61,0.671,21.606,-0.488,7.432,-50.751,75.157,1.527,1.306
0.782,0.159,0.569,-12.573,11.475,-3.113,7.388,-50.488,74.987,1.537,1.267
0.787,0.178,0.534,-20.203,6.897,-4.089,7.207,-50.35,74.762,1.537,1.267
0.793,0.199,0.517,-24.597,4.7,-3.418,6.932,-50.268,74.531,1.537,1.267
0.792,0.204,0.534,-27.283,-7.935,-4.089,6.641,-50.394,74.246,1.488,1.254
0.749,0.218,0.556,-33.569,-22.217,-5.554,6.317,-50.795,73.867,1.488,1.254
0.663,0.239,0.568,-33.508,-19.348,-4.883,5.982,-51.213,73.466,1.491,1.252
0.542,0.223,0.552,-31.372,-8.728,-3.479,5.636,-51.443,73.109,1.452,1.296
0.416,0.165,0.492,-35.522,2.991,-3.235,5.213,-51.432,72.779,1.452,1.296
0.315,0.102,0.437,-44.25,2.808,-5.127,4.675,-51.345,72.4,1.398,1.318
0.181,0.052,0.357,-51.697,2.991,-6.409,4.016,-51.24,71.966,1.413,1.379
0.107,-0.014,0.341,-47.058,9.094,-7.202,3.406,-51.015,71.505,1.413,1.379
0.254,-0.064,0.415,-49.011,18.005,-9.521,2.791,-50.603,71.016,1.476,1.33
0.716,-0.048,0.671,-41.565,13.123,-13.55,2.324,-50.213,70.477,1.444,1.154
6.076,-0.161,4.265,-23.56,0,-16.174,2.175,-50.081,69.944,1.444,1.154
1.936,-0.103,1.141,-22.522,-50.964,-15.381,2.115,-50.856,69.472,1.483,0.789
1.88,-0.138,0.842,-21.118,-11.108,-14.404,2.043,-51.301,69.06,1.471,0.755
2.07,-0.1,0.843,29.602,59.692,-8.606,2.554,-50.526,68.89,1.471,0.755
2.251,-0.106,1.002,108.582,5.066,11.23,4.109,-50.268,69.219,1.471,0.755
2.066,-0.124,1.157,43.701,-112.61,-3.052,5.405,-52.037,69.126,1.471,0.804
1.381,0.148,2.373,-29.358,-475.769,-29.297,7.009,-59.656,66.956,1.471,0.804
0.839,-0.156,0.824,27.344,-299.5,-19.653,9.915,-66.27,64.006,1.001,0.726
0.561,-0.135,0.593,-24.475,65.918,-9.521,10.184,-66.561,63.474,0.835,0.743
0.084,-0.026,0.19,-10.803,155.518,-2.747,8.893,-63.776,64.594,0.835,0.743
