0.998,0.015,0.101,-0.244,0.305,0.671,-0.983,-83.809,88.22,0.75,0.894
1,0.014,0.102,-0.183,0.244,0.61,-0.994,-83.809,88.231,0.75,0.894
0.996,0.014,0.099,0,0.305,0.61,-1.011,-83.809,88.237,0.74,0.896
0.996,0.015,0.1,0,0.244,0.549,-1.022,-83.809,88.242,0.74,0.896
0.996,0.016,0.099,0,-0.366,0.61,-1.027,-83.809,88.242,0.74,0.896
0.995,0.015,0.098,-0.061,-0.122,0.549,-1.033,-83.826,88.248,0.76,0.894
0.995,0.014,0.097,0.061,-0.183,0.549,-1.033,-83.831,88.242,0.76,0.894
0.996,0.014,0.097,0.061,0.061,0.549,-1.033,-83.842,88.237,0.76,0.894
0.997,0.015,0.098,0.183,0.122,0.61,-1.027,-83.842,88.231,0.748,0.896
1,0.011,0.1,0.183,0.305,0.549,-1.033,-83.848,88.231,0.748,0.896
1.002,0.009,0.1,0,0.488,0.549,-1.033,-83.848,88.226,0.769,0.896
0.999,0.011,0.099,0.244,-0.427,0.854,-1.049,-83.848,88.237,0.76,0.896
0.999,0.015,0.098,-0.061,1.404,1.038,-1.121,-83.853,88.303,0.76,0.896
0.996,0.015,0.099,-0.305,0.977,1.038,-1.214,-83.831,88.391,0.752,0.894
0.996,0.014,0.099,-0.122,-0.122,0.916,-1.302,-83.826,88.473,0.762,0.896
0.992,0.01,0.099,0.183,-0.671,0.793,-1.368,-83.837,88.533,0.762,0.896
0.989,0.014,0.102,0.244,-0.061,0.793,-1.417,-83.853,88.583,0.743,0.896
0.995,0.017,0.1,0.183,-0.122,0.793,-1.461,-83.859,88.627,0.765,0.894
1,0.017,0.098,0.061,-0.488,0.671,-1.494,-83.87,88.665,0.765,0.894
0.999,0.015,0.096,-0.061,-0.732,0.732,-1.516,-83.881,88.682,0.787,0.896
1,0.016,0.095,0,-0.061,0.671,-1.544,-83.897,88.698,0.748,0.894
1,0.016,0.096,0.122,0.244,0.671,-1.555,-83.903,88.709,0.748,0.894
0.998,0.016,0.097,0.244,0.305,0.671,-1.56,-83.908,88.709,0.757,0.896
0.995,0.013,0.096,0.122,0.183,0.732,-1.571,-83.908,88.715,0.74,0.906
0.993,0.012,0.095,0.244,0,0.732,-1.588,-83.908,88.737,0.74,0.906
0.994,0.014,0.095,0.305,-0.183,0.732,-1.609,-83.919,88.753,0.774,0.908
0.999,0.013,0.095,0.244,0.061,0.793,-1.631,-83.925,88.775,0.769,0.911
0.997,0.012,0.095,0.366,0.305,0.732,-1.664,-83.93,88.808,0.769,0.911
1,0.011,0.097,0.488,0.305,0.671,-1.681,-83.93,88.824,0.784,0.908
0.998,0.01,0.098,0.61,0.488,0.61,-1.686,-83.93,88.835,0.769,0.911
0.998,0.009,0.099,0.61,0.61,0.549,-1.681,-83.925,88.835,0.769,0.911
0.997,0.01,0.099,0.488,0.732,0.549,-1.67,-83.919,88.835,0.765,0.908
0.997,0.01,0.098,0.488,0.671,0.61,-1.67,-83.914,88.835,0.752,0.906
0.996,0.01,0.099,0.488,0.61,0.549,-1.675,-83.903,88.846,0.752,0.906
0.996,0.011,0.097,0.488,0.549,0.61,-1.675,-83.897,88.852,0.745,0.908
0.995,0.013,0.097,0.427,0.488,0.671,-1.686,-83.892,88.868,0.743,0.911
0.997,0.015,0.097,0.427,0.427,0.732,-1.708,-83.892,88.896,0.743,0.911
