0.769,0.19,0.619,-3.662,1.343,0.122,17.831,-49.565,-159.489,0.662,0.263
0.768,0.186,0.636,-3.418,-0.488,0.916,17.748,-49.565,-159.483,0.662,0.263
0.774,0.191,0.629,-1.221,-0.305,1.343,17.677,-49.576,-159.461,0.631,0.26
0.783,0.2,0.627,-1.038,0.061,0.854,17.633,-49.587,-159.445,0.67,0.263
0.777,0.203,0.633,-0.916,0.793,0.305,17.595,-49.587,-159.434,0.67,0.263
0.777,0.2,0.625,-0.549,0.977,0.244,17.567,-49.57,-159.428,0.765,0.265
0.774,0.199,0.628,0.244,0.793,0.427,17.551,-49.554,-159.417,0.626,0.26
0.778,0.197,0.623,1.343,-0.366,1.038,17.551,-49.559,-159.406,0.626,0.26
0.771,0.198,0.621,1.587,-0.427,1.099,17.562,-49.576,-159.39,0.687,0.263
0.768,0.195,0.63,2.075,0,1.282,17.573,-49.587,-159.368,0.687,0.263
0.773,0.197,0.624,2.563,0.244,1.648,17.584,-49.592,-159.34,0.687,0.263
0.774,0.195,0.612,2.563,-0.977,2.075,17.595,-49.614,-159.302,0.687,0.263
0.763,0.198,0.623,3.113,-0.549,2.563,17.606,-49.642,-159.258,0.657,0.263
0.768,0.201,0.623,4.456,-0.488,2.747,17.628,-49.669,-159.197,0.657,0.263
0.776,0.208,0.62,4.883,-0.549,2.747,17.661,-49.697,-159.137,0.653,0.258
0.779,0.209,0.626,4.639,-0.122,2.441,17.704,-49.719,-159.077,0.643,0.258
0.78,0.212,0.625,4.272,0.366,2.136,17.743,-49.73,-159.022,0.643,0.258
0.768,0.209,0.615,2.441,0.732,2.625,17.803,-49.73,-158.796,0.682,0.255
0.768,0.215,0.616,1.77,0.305,2.502,17.792,-49.735,-158.736,0.682,0.255
0.77,0.217,0.615,0.977,0.305,2.075,17.781,-49.746,-158.687,0.682,0.255
0.77,0.215,0.623,0.61,0.061,1.709,17.765,-49.752,-158.648,0.682,0.255
0.771,0.213,0.621,0.183,-0.183,1.16,17.754,-49.763,-158.626,0.682,0.255
0.771,0.216,0.627,-0.183,-0.244,0.916,17.743,-49.768,-158.615,0.682,0.255
0.771,0.216,0.62,-0.488,-0.183,0.671,17.737,-49.774,-158.615,0.635,0.258
0.771,0.211,0.618,-0.61,-0.183,0.549,17.726,-49.779,-158.615,0.635,0.258
0.767,0.208,0.62,-0.61,0.061,0.488,17.715,-49.785,-158.621,0.635,0.258
0.769,0.203,0.624,-0.793,0.061,0.549,17.704,-49.785,-158.621,0.682,0.258
0.768,0.206,0.625,-0.671,-0.061,0.732,17.688,-49.785,-158.621,0.682,0.258
0.768,0.207,0.62,-0.854,-0.061,0.732,17.666,-49.785,-158.621,0.682,0.258
0.765,0.204,0.625,-0.793,-0.366,0.61,17.65,-49.79,-158.621,0.682,0.258
0.768,0.207,0.622,-0.732,-0.427,0.305,17.639,-49.801,-158.626,0.657,0.263
0.771,0.206,0.624,-0.977,-0.671,-0.122,17.633,-49.807,-158.648,0.657,0.263
0.77,0.206,0.626,-0.916,-0.854,-0.488,17.633,-49.818,-158.681,0.64,0.265
0.774,0.202,0.622,-1.16,-1.221,-0.61,17.644,-49.828,-158.725,0.684,0.258
0.781,0.203,0.619,-1.038,-0.977,-0.549,17.65,-49.845,-158.769,0.684,0.258
