0.546,0.133,0.847,-0.732,-0.854,0.61,8.613,-32.97,81.304,1.552,1.893
0.549,0.121,0.842,-1.099,-0.488,0.305,8.591,-32.981,81.315,1.576,1.893
0.554,0.108,0.838,-0.549,-0.122,-0.183,8.575,-32.981,81.315,1.576,1.89
0.551,0.11,0.842,0.305,-0.244,-0.671,8.575,-32.981,81.31,1.576,1.89
0.545,0.121,0.843,1.099,-0.732,-0.732,8.591,-32.986,81.299,1.549,1.89
0.544,0.132,0.843,0.61,-0.488,-1.221,8.619,-32.992,81.277,1.539,1.898
0.555,0.124,0.842,0.488,-0.793,-1.282,8.641,-32.997,81.249,1.539,1.898
0.565,0.131,0.845,0.671,-0.977,-0.732,8.668,-33.014,81.227,1.539,1.898
0.561,0.136,0.842,0.305,-0.793,-0.488,8.679,-33.025,81.216,1.549,1.89
0.549,0.125,0.834,0.122,-0.61,-0.549,8.69,-33.036,81.205,1.549,1.89
0.555,0.121,0.835,0.305,-0.488,-0.793,8.707,-33.047,81.189,1.549,1.89
0.561,0.124,0.837,0.671,-0.549,-0.61,8.723,-33.058,81.178,1.578,1.893
0.568,0.129,0.839,0.916,-0.366,-0.061,8.74,-33.063,81.167,1.578,1.893
0.562,0.138,0.838,0.488,0.427,0.061,8.751,-33.069,81.172,1.564,1.89
0.561,0.135,0.835,0,1.038,0.061,8.756,-33.052,81.178,1.576,1.893
0.563,0.137,0.839,0,1.709,0,8.751,-33.03,81.183,1.576,1.893
0.558,0.13,0.836,0.183,1.526,0.305,8.751,-33.003,81.194,1.542,1.895
0.558,0.128,0.837,0.366,1.404,0.61,8.745,-32.981,81.211,1.542,1.895
0.554,0.141,0.843,0.122,1.526,0.61,8.745,-32.959,81.233,1.542,1.895
0.556,0.146,0.845,-0.427,1.343,0.427,8.734,-32.937,81.249,1.537,1.898
0.552,0.145,0.845,-0.916,1.282,0.488,8.718,-32.915,81.26,1.559,1.895
0.546,0.13,0.84,-1.16,1.526,0.061,8.696,-32.893,81.266,1.559,1.895
0.547,0.114,0.838,-0.916,1.953,-0.977,8.685,-32.86,81.255,1.561,1.893
0.557,0.118,0.843,-0.122,2.014,-1.648,8.685,-32.816,81.227,1.566,1.888
0.555,0.138,0.848,0.305,2.075,-1.77,8.707,-32.778,81.194,1.566,1.888
0.551,0.139,0.846,0.305,2.258,-1.77,8.734,-32.728,81.161,1.566,1.888
0.554,0.129,0.847,0.305,2.38,-2.136,8.762,-32.684,81.123,1.518,1.888
0.559,0.121,0.848,0.671,2.625,-2.441,8.795,-32.629,81.079,1.518,1.888
0.555,0.125,0.849,0.977,2.747,-2.441,8.839,-32.574,81.035,1.518,1.888
0.545,0.126,0.841,1.282,2.991,-2.319,8.882,-32.514,80.991,1.539,1.893
0.541,0.124,0.835,1.465,2.808,-2.319,8.926,-32.454,80.953,1.539,1.893
0.55,0.146,0.845,1.648,2.686,-1.709,8.976,-32.399,80.92,1.513,1.888
0.548,0.166,0.85,0.854,2.136,-0.671,9.009,-32.355,80.903,1.527,1.89
