0.767,0.178,0.546,-11.719,5.188,4.944,5.57,-56.689,133.682,4.166,4.417
0.752,0.186,0.557,-12.512,0.244,6.165,5.279,-56.706,133.737,4.551,4.459
0.779,0.178,0.55,-12.939,-3.662,7.019,4.966,-56.788,133.813,4.551,4.459
0.783,0.179,0.547,-22.4,-9.949,3.662,4.603,-56.975,133.775,4.244,4.795
0.747,0.168,0.52,-31.433,-15.259,-1.892,4.235,-57.25,133.544,4.244,4.795
0.798,0.143,0.555,-48.584,-20.63,-7.141,3.741,-57.618,133.099,4.244,4.795
0.87,0.131,0.619,-64.087,-19.409,-11.963,3.087,-57.98,132.49,4.069,5.399
0.844,0.089,0.615,-55.908,-17.578,-9.399,2.444,-58.304,131.929,3.596,5.962
0.985,-0.003,0.665,-40.833,-11.658,-8.972,2.01,-58.53,131.44,3.596,5.962
1.147,-0.063,0.717,-44.067,-30.151,-16.174,1.752,-58.997,130.787,3.672,5.974
0.973,-0.18,0.523,-37.964,-0.305,-22.949,1.736,-59.106,129.941,3.871,5.589
0.826,-0.268,0.447,-59.143,61.707,-33.081,1.609,-58.156,128.875,3.871,5.589
0.785,-0.188,0.632,-77.209,41.443,-33.386,1.115,-57.211,127.787,4.032,4.454
0.865,-0.138,0.809,-16.418,-56.091,-2.625,0.731,-57.827,127.546,4.032,4.454
0.943,-0.219,0.562,22.949,19.165,5.066,0.786,-57.794,127.848,4.032,4.454
0.916,-0.189,0.696,-8.423,12.634,5.127,0.472,-57.486,128.249,4.088,3.535
0.875,-0.111,0.503,20.569,15.259,18.066,0.137,-57.178,129.001,4.059,3.36
0.853,-0.134,0.515,39.246,6.531,25.94,-0.044,-56.997,130.067,4.059,3.36
0.843,-0.124,0.466,32.349,-7.996,25.94,-0.302,-57.085,131.199,4.049,3.34
0.843,-0.123,0.429,32.532,-7.507,23.438,-0.538,-57.244,132.253,3.908,4.195
0.846,-0.101,0.394,15.076,-13.428,15.198,-0.829,-57.497,133.05,3.908,4.195
0.833,-0.064,0.378,9.888,-10.071,9.827,-1.099,-57.733,133.616,3.908,4.195
0.853,-0.03,0.376,5.371,-10.62,6.287,-1.318,-57.975,134.017,3.908,4.195
0.868,0.004,0.371,4.211,-11.963,3.967,-1.483,-58.25,134.297,3.908,4.195
0.877,0.003,0.4,16.724,-9.888,4.761,-1.445,-58.508,134.55,3.918,4.583
0.868,-0.033,0.419,26.001,-2.808,4.578,-1.192,-58.651,134.786,3.981,4.727
0.849,-0.073,0.436,20.813,4.089,0.305,-0.862,-58.656,134.89,3.981,4.727
0.853,-0.083,0.467,18.372,8.362,-1.831,-0.511,-58.563,134.901,3.979,5.657
0.864,-0.096,0.502,29.968,3.662,0.61,-0.055,-58.513,134.978,3.979,5.657
0.846,-0.114,0.502,34.607,-2.136,1.953,0.456,-58.574,135.132,3.979,5.657
0.806,-0.099,0.519,32.654,-1.404,1.465,0.95,-58.64,135.297,4.032,5.623
0.762,-0.075,0.523,36.743,-3.967,2.808,1.461,-58.727,135.516,4.035,5.272
0.821,-0.044,0.584,44.495,-8.545,3.662,2.076,-58.887,135.769,4.035,5.272
1.009,0.006,0.698,43.152,-20.325,1.77,2.774,-59.233,135.95,4.312,4.247
1.072,0.063,0.731,38.33,-12.573,0.61,3.455,-59.507,136.071,4.573,3.993
0.95,0.121,0.684,34.058,2.014,1.038,4.048,-59.518,136.192,4.573,3.993
0.862,0.161,0.653,32.349,13.794,2.258,4.559,-59.271,136.362,4.573,3.993
0.867,0.241,0.683,45.959,10.742,4.944,5.219,-59.013,136.593,4.636,4.083
0.866,0.312,0.616,34.729,3.906,3.784,5.845,-58.859,136.747,4.636,4.083
0.8,0.315,0.608,18.372,0.366,-3.479,6.416,-58.782,136.62,3.742,4.008
0.717,0.32,0.673,-0.793,-17.334,-11.047,6.954,-58.953,136.11,3.742,4.008
0.743,0.295,0.629,5.92,10.376,-11.719,7.542,-58.777,135.56,3.742,4.008
0.756,0.242,0.611,-10.376,42.725,-16.602,7.905,-57.969,135.027,3.501,3.92
0.769,0.213,0.58,-24.963,41.199,-21.851,8.086,-57.019,134.352,3.079,3.876
0.79,0.203,0.537,-19.47,50.903,-18.982,8.196,-55.948,133.759,3.079,3.876
0.808,0.157,0.48,-4.7,30.457,-14.954,8.481,-55.168,133.248,3.079,3.876
0.824,0.098,0.395,-9.155,3.784,-13.916,8.8,-54.904,132.682,3.235,3.847
0.862,0.097,0.375,-12.207,-16.479,-9.949,9.042,-55.107,132.122,3.235,3.847
0.916,0.087,0.312,2.808,-25.452,-1.465,9.322,-55.585,131.743,3.326,3.883
0.939,0.07,0.29,1.404,-21.545,3.418,9.487,-56.091,131.572,3.326,3.883
0.936,0.073,0.267,-6.958,-20.813,4.883,9.426,-56.596,131.495,3.326,3.883
0.945,0.103,0.321,-26.428,-15.32,1.831,9.064,-57.03,131.369,3.326,3.883
0.911,0.163,0.398,-39.185,-14.526,-0.854,8.492,-57.415,131.16,3.647,3.964
0.868,0.19,0.446,-5.005,14.465,7.69,8.108,-57.382,131.265,3.647,3.964
0.831,0.205,0.525,7.935,8.911,11.169,7.943,-57.294,131.545,3.647,3.964
0.793,0.196,0.529,13.062,-2.563,13.611,7.894,-57.387,131.863,4.259,4.317
0.755,0.191,0.531,1.953,-2.441,11.169,7.762,-57.513,132.122,4.259,4.317
0.762,0.165,0.53,-4.272,0.305,9.521,7.531,-57.579,132.319,4.259,4.317
0.783,0.148,0.562,-17.212,-7.812,5.249,7.213,-57.728,132.363,4.069,4.826
0.73,0.138,0.532,-20.691,-7.324,3.662,6.85,-57.887,132.325,4.069,4.826
0.706,0.109,0.535,-26.428,-10.376,2.991,6.416,-58.074,132.264,4.069,4.826
0.858,0.121,0.628,-49.255,-28.076,-1.526,5.768,-58.524,132.023,3.645,5.599
0.979,0.141,0.694,-56.396,-23.438,-2.686,4.96,-58.975,131.726,3.645,5.599
1.083,0.083,0.735,-36.865,-6.836,-1.953,4.345,-59.145,131.506,3.618,5.611
1.086,-0.024,0.671,-36.438,-9.033,-8.728,3.966,-59.266,131.138,3.791,5.521
0.954,-0.129,0.538,-49.438,16.846,-22.583,3.713,-59.002,130.391,3.791,5.521
0.88,-0.143,0.518,-70.312,54.016,-30.823,3.274,-58.057,129.419,3.82,5.426
0.85,-0.087,0.62,-55.359,42.297,-24.658,2.823,-57.129,128.589,3.879,4.727
0.849,-0.051,0.814,22.4,-46.326,2.38,3.016,-57.596,128.474,3.879,4.727
0.838,-0.196,0.554,39.856,-5.554,10.803,3.406,-57.695,128.99,3.888,3.869
0.84,-0.155,0.683,-8.85,13.733,8.118,2.84,-57.404,129.474,3.845,3.399
0.836,-0.1,0.532,21.606,9.705,18.433,2.571,-57.206,130.331,3.845,3.399
0.831,-0.093,0.504,31.799,6.042,23.376,2.357,-57.09,131.353,3.837,3.408
0.846,-0.067,0.419,26.611,-16.968,21.057,2.137,-57.442,132.242,3.837,3.408
0.856,-0.059,0.345,27.588,-12.573,19.531,1.978,-57.717,133.072,3.837,3.408
0.868,-0.062,0.329,24.17,-19.287,16.174,1.851,-58.14,133.764,3.854,3.981
0.861,-0.072,0.32,8.85,-21.24,10.132,1.609,-58.612,134.22,3.854,3.981
0.855,-0.045,0.353,7.141,-18.311,7.69,1.406,-59.035,134.588,3.854,3.981
0.849,-0.026,0.397,20.996,-6.165,10.193,1.39,-59.211,135.055,3.893,4.617
0.83,-0.057,0.427,23.193,1.343,8.85,1.461,-59.244,135.478,3.893,4.617
0.832,-0.08,0.455,10.864,10.986,3.174,1.461,-59.073,135.692,3.893,4.617
0.874,-0.098,0.499,4.761,14.465,0.122,1.434,-58.832,135.802,3.879,4.985
0.901,-0.12,0.516,8.118,12.817,0.61,1.45,-58.618,135.939,3.876,5.689
0.854,-0.128,0.5,9.033,8.667,0.122,1.489,-58.486,136.071,3.876,5.689
0.805,-0.071,0.52,13.306,-0.671,0.977,1.593,-58.53,136.236,3.915,5.523
0.765,-0.022,0.519,33.081,-10.986,5.92,1.945,-58.777,136.571,3.957,5.336
0.736,-0.024,0.513,35.461,-14.709,4.089,2.417,-59.079,136.829,3.957,5.336
0.85,0.042,0.606,22.156,-8.911,-1.77,2.829,-59.249,136.851,3.988,5.336
1.1,0.135,0.761,34.302,-20.691,0.183,3.472,-59.645,136.89,4.052,4.744
1.068,0.133,0.705,46.509,-19.714,3.235,4.296,-60.013,137.016,4.052,4.744
0.967,0.085,0.646,22.766,-3.052,-2.991,4.834,-60.035,136.923,4.2,4.268
0.99,0.174,0.722,15.991,-8.545,-1.831,5.229,-60.161,136.84,4.249,4.429
0.938,0.233,0.658,40.222,4.028,6.104,5.828,-60.04,137.087,4.249,4.429
0.817,0.25,0.535,23.193,45.593,0.916,6.152,-59.095,137.258,3.752,4.49
0.759,0.239,0.539,7.385,19.958,-8.24,6.581,-58.64,136.95,3.196,4.407
0.737,0.284,0.692,-11.963,-21.79,-17.029,7.086,-58.98,136.099,3.196,4.407
0.767,0.309,0.647,-14.404,-9.521,-15.747,7.493,-59.057,135.33,3.196,4.407
0.782,0.254,0.633,-7.141,47.974,-11.902,7.674,-58.002,134.989,3.265,4.052
0.782,0.194,0.569,-2.197,41.992,-10.864,7.938,-57.079,134.67,3.265,4.052
0.798,0.125,0.457,-3.601,44.861,-10.01,8.108,-56.124,134.412,3.265,4.052
0.831,0.102,0.443,-13.794,22.278,-11.963,8.207,-55.629,133.984,3.265,4.052
0.845,0.118,0.356,-16.113,-11.841,-10.742,8.35,-55.838,133.423,3.265,4.052
0.862,0.11,0.282,-2.686,-25.269,-3.357,8.608,-56.36,133.044,3.265,4.052
0.903,0.123,0.235,9.583,-18.86,5.127,8.833,-56.799,132.984,3.423,4.086
0.924,0.146,0.238,8.728,-20.874,8.118,8.965,-57.316,133,3.423,4.086
0.891,0.181,0.265,-10.193,-14.221,3.052,8.844,-57.706,132.858,3.423,4.086
0.851,0.227,0.391,-32.288,-14.709,-1.953,8.465,-58.085,132.506,4.142,4.186
0.845,0.3,0.452,-16.785,-3.906,0.061,8.306,-58.244,132.27,4.142,4.186
0.833,0.285,0.492,26.123,14.16,9.583,8.641,-58.063,132.462,4.142,4.186
0.817,0.196,0.5,24.963,3.479,10.071,8.987,-58.079,132.616,4.142,4.186
0.807,0.153,0.5,-6.226,-7.69,2.869,8.981,-58.282,132.457,4.142,4.186
0.813,0.14,0.497,-9.399,-5.127,2.014,8.91,-58.425,132.297,4.186,4.261
0.81,0.088,0.481,-12.207,-7.874,2.686,8.756,-58.612,132.177,4.03,4.315
0.792,0.057,0.447,-24.109,-12.756,3.052,8.355,-58.892,132.078,4.03,4.315
0.847,0.068,0.495,-29.419,-16.663,4.822,7.789,-59.249,132.056,4.03,4.315
1.031,0.119,0.612,-31.433,-31.616,6.653,7.169,-59.897,132.05,3.72,5.652
1.056,0.068,0.654,-36.133,-25.146,4.639,6.476,-60.403,132.028,3.72,5.652
0.997,0.001,0.648,-56.03,-23.987,-4.883,5.68,-60.848,131.677,3.72,5.652
1.114,-0.037,0.707,-64.575,-17.761,-12.939,4.949,-61.155,131.072,3.91,5.202
1.093,-0.077,0.649,-61.218,10.193,-17.029,4.318,-60.897,130.43,3.91,5.202
0.887,-0.176,0.506,-52.612,65.247,-21.79,3.834,-59.557,129.814,3.91,5.202
0.793,-0.183,0.555,-69.58,66.101,-24.78,3.071,-58.211,129.122,3.91,5.202
0.753,-0.057,0.817,-20.447,-42.664,1.099,2.615,-59.041,129.227,3.91,5.202
0.808,-0.162,0.54,62.134,-50.659,15.503,3.307,-60.024,129.908,3.942,4.583
0.833,-0.146,0.697,-32.166,32.593,8.911,2.175,-59.332,130.518,3.947,3.983
0.849,-0.028,0.628,-4.517,33.875,14.832,1.439,-58.618,131.32,3.947,3.983
0.836,-0.023,0.541,17.883,31.921,21.423,0.989,-57.953,132.308,3.957,3.503
0.814,-0.018,0.496,26.001,0.427,21.667,0.736,-57.92,133.248,3.869,3.506
0.812,-0.043,0.375,32.288,-7.751,21.729,0.615,-58.063,134.165,3.869,3.506
0.851,-0.056,0.349,33.508,2.197,18.372,0.621,-58.03,134.94,3.876,3.618
